media_id,filename,type,primary_topic,secondary_topics,documentary_significance,historical_date,date_ingested,archive_origin,batch_id,rights_status,social_ready,pitch_ready,quality_rating,sha256_hash,treatment_sections
CIC-HEL-033,US_226316_f0003_i0004a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-034,US_226316_f0003_i0006.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-035,US_226316_f0003_i0007.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-036,US_226316_f0003_i0009.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-037,US_226316_f0003_i0009a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-038,US_226316_f0004_i0001.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-039,US_226316_f0004_i0001a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-040,US_226316_f0004_i0010.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-041,US_226316_f0004_i0010a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-042,US_226316_f0004_i0018.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-043,US_226316_f0004_i0018a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-044,US_226316_f0004_i0022.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-045,US_226316_f0004_i0022a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-WR-001,IMG_0065.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-002,IMG_0284.heic,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-003,IMG_0384.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-004,IMG_0387.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-005,IMG_0406.jpg,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-006,IMG_0419.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-007,IMG_0475.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-008,IMG_0572.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-009,IMG_0665.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-010,IMG_0871.jpg,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-011,IMG_0874.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-012,IMG_0905.heic,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-013,IMG_0935.heic,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-014,IMG_0948.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-015,IMG_0957.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-016,IMG_0989.HEIC,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-017,IMG_0989.PNG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-018,IMG_0990.HEIC,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-019,IMG_0991.HEIC,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-020,IMG_0992.HEIC,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-021,IMG_0994.HEIC,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-022,IMG_1004.heic,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
